,tripduration,start station latitude,start station longitude,end station latitude,end station longitude
142,1532,40.695065,-73.987167,40.75660359,-73.9979009
143,1483,40.73020660529954,-73.99102628231049,40.75660359,-73.9979009
144,2203,40.739323,-74.008119,40.720873600000004,-73.98085795
145,670,40.746745000000004,-74.007756,40.74345335,-74.00004031
146,1460,40.72467721,-73.98783413,40.764397100000004,-73.97371465
147,888,40.73781509,-73.99994661,40.71754834,-74.01322069
148,602,40.73226398,-73.99852205,40.73524276,-73.98758561
149,607,40.73226398,-73.99852205,40.69383,-73.990539
150,1329,40.683048,-73.964915,40.68981035,-73.97493121
151,262,40.71117444,-73.99682619,40.750967348715974,-73.99444207549095
152,520,40.683048,-73.964915,40.68981035,-73.97493121
153,5301,40.72243797,-74.00566443,40.71534825,-73.96024116
154,1318,40.701907,-74.013942,40.71939226,-74.00247214
155,206,40.76341379,-73.99667444,40.76341379,-73.99667444
156,105,40.74290902,-73.97706058,40.74290902,-73.97706058
157,1287,40.701907,-74.013942,40.71939226,-74.00247214
158,275,40.74394314,-73.97966069,40.74394314,-73.97966069
159,879,40.74290902,-73.97706058,40.74177603,-74.00149746
160,1273,40.76669671,-73.99061728,40.76068327096592,-73.98452728986742
161,432,40.69196566,-73.9813018,40.69308257,-73.97178913
162,530,40.69766564,-73.98476437,40.69766564,-73.98476437
163,414,40.69196566,-73.9813018,40.69308257,-73.97178913
164,1228,40.76019252,-73.9912551,40.76344058,-73.98268129
165,1218,40.73971301,-73.99456405,40.75466591,-73.99138152
166,381,40.72210378668603,-73.99724900722505,40.72405549,-74.00965965
167,243,40.74394314,-73.97966069,40.74394314,-73.97966069
168,1095,40.72299208,-73.97995466,40.72217444,-73.98368779
169,913,40.742354299999995,-73.98915076,40.74195138,-74.00803013
170,698,40.74780373,-73.97344190000001,40.740343200000005,-73.98955109
171,1513,40.72679454,-73.99695094,40.724399,-74.004704
172,1447,40.73401143,-74.00293877,40.72015227023285,-74.01036500930786
173,759,40.73020660529954,-73.99102628231049,40.7172274,-73.98802084
174,613,40.73454567,-73.99074142,40.74444921,-73.98303529
175,420,40.689888,-73.981013,40.69573398,-73.97129668
176,815,40.742354299999995,-73.98915076,40.75455731,-73.96592976
177,1566,40.76370739,-73.9851615,40.72621788,-73.98379855
178,1357,40.72679454,-73.99695094,40.74901271,-73.98848395
179,293,40.75206862,-73.96784384,40.72502876,-73.99069656
180,613,40.72740794,-73.98142006,40.740343200000005,-73.98955109
181,608,40.72740794,-73.98142006,40.73261787,-73.99158043
182,995,40.746646999999996,-73.993915,40.76269882,-73.99301222
183,2142,40.72362738,-73.99949601,40.746646999999996,-73.993915
184,855,40.76030096,-73.99884222,40.75714758,-73.97207836
185,1903,40.71754834,-74.01322069,40.68926942,-73.98912867
186,1982,40.71754834,-74.01322069,40.68926942,-73.98912867
187,536,40.71602118,-73.99974372,40.72210378668603,-73.99724900722505
188,1251,40.72953837,-73.98426726,40.76344058,-73.98268129
189,492,40.71117416,-74.00016545,40.697787,-73.973736
190,286,40.72490985,-74.00154702,40.72953837,-73.98426726
191,1594,40.759107,-73.959223,40.76669671,-73.99061728
192,1527,40.71285887,-73.96590294,40.685226719472546,-73.97800147533417
