,NLL(train),RMSE(train),NLL(test),RMSE(test),l_mean,l_std,sigma_mean,sigma_std,eps
0,0.3785516377737282,0.2393746654504813,0.3785516377737282,0.2393746654504813,0.14300109831404947,0.00017097723489369285,0.06340961153843681,0.00012062540305861389,inf
1,0.7552327998234002,0.4805832990864916,0.7433929780216314,0.4671242685759923,0.2193674138216662,0.012610630033706344,0.582616399110922,0.01197862537980866,0.01
2,0.8648687867433332,0.556751263288859,0.8433286272670741,0.5396015852600126,0.22126545514038498,0.006271120578736104,0.44472806028651257,0.013808485952644015,0.016860236466741008
3,0.884373727146772,0.5693291751134713,0.9008282022996228,0.582735838092517,0.23593935397377214,0.0026381340256505363,0.37995091171340045,0.031050312264999113,0.02842675737144233
4,0.8653289725400772,0.5584373451148145,0.9139382108200422,0.5926759963023575,0.23280130789357933,0.0008085091135823301,0.2814537002325713,0.011775603297581962,0.04792818512651904
5,0.8357596644178138,0.5420919192833152,0.9094594804899452,0.5882337756061347,0.22260855518616846,0.0012061571879467545,0.23929357642123078,0.004333725095189765,0.08080805346548507
6,0.7817343432237763,0.5172260954307103,0.9133916637454137,0.5872536467762135,0.1969399974638048,0.0023430105930222433,0.14581139861448708,0.007253972057155003,0.13624428898451277
7,0.7130563918573081,0.48973470730221536,0.9113314405979563,0.5846651043886005,0.18391646589208563,0.00045648915217356994,0.08635346001418134,0.0019368474471770354,0.22971109295218825
8,0.6401884430605937,0.46298558615259566,0.8912498599370391,0.5709998196056099,0.1737787594212262,0.00013002546151784307,0.05791372062355776,0.00027316088005745524,0.38729833462074176
9,0.5721180588784306,0.439211837371893,0.8600813825562494,0.5493182258985795,0.16519241584327665,0.00024272548174739168,0.04717806651262011,5.151140011237368e-05,0.6529941504880691
10,0.5116275340153374,0.4188527019802152,0.8256117735284555,0.5259137315804101,0.158855012881679,0.00013341383578524711,0.04228980714605729,1.011753987364918e-06,1.1009635788627508
11,0.45877183246774117,0.40148205753646604,0.7929136913583068,0.5041570775515286,0.15407646237501577,3.508668595564356e-05,0.03997179704634947,3.183081737723437e-06,1.856250628089543
12,0.4129645832380122,0.38659601547414035,0.7631491732782153,0.48475555920727614,0.1508388174686801,5.775261812818514e-06,0.03919220659999564,9.924994168888171e-07,3.129682453112623
13,0.3733149897553698,0.3737545791050969,0.7362178597038169,0.46768708654728003,0.14896945832186506,4.245019772958642e-07,0.03950276652069109,4.170129917471018e-07,5.276718622528887
14,0.3389129874792711,0.36258522744506894,0.7120023913081769,0.4527055564174691,0.14779438332440498,8.472948576620513e-07,0.040561877453796844,9.041675431876391e-07,8.896672374429295
15,0.308961362341994,0.3527906883921594,0.6903358307080615,0.43950503841053756,0.14697906251249657,1.1593849655693155e-06,0.04208363207773651,1.3272202465121751e-06,15.0
